Ref,Val,Package,PosX,PosY,Rot,Side
"U2","AD620","R_8_ADI-M",163.165000,-96.891500,90.000000,bottom
"U4","TPS7A8101DRBR","IC_DRV8601DRBT",181.950000,-88.099999,0.000000,bottom
"C1","22uF","C_0603_1608Metric",171.975000,-93.500000,0.000000,top
"C2","0.1uF","C_0603_1608Metric",179.325000,-95.700000,180.000000,top
"C3","1uF","C_0603_1608Metric",169.000000,-101.250000,0.000000,top
"C4","1uF","C_0603_1608Metric",170.980000,-104.525000,0.000000,top
"C5","100n","C_0603_1608Metric",180.225000,-108.250000,0.000000,top
"C6","100n","C_0603_1608Metric",174.800000,-104.525000,0.000000,top
"C7","10u","C_0603_1608Metric",185.400000,-92.675000,-90.000000,top
"C8","470n","C_0603_1608Metric",186.455000,-86.342500,0.000000,top
"C9","470n","C_0603_1608Metric",188.995000,-92.360000,180.000000,top
"C10","10u","C_0603_1608Metric",178.050000,-88.247500,-90.000000,top
"C11","1.5 pF","C_0201_0603Metric",140.990000,-93.920000,90.000000,top
"C12","1.5 pF","C_0201_0603Metric",143.490000,-93.920000,90.000000,top
"L1","2.7 nH","L_0201_0603Metric",142.250000,-94.240000,180.000000,top
"R1","10k","R_0603_1608Metric",177.225000,-100.970000,0.000000,top
"R2","10k","R_0603_1608Metric",173.480000,-101.025000,0.000000,top
"R3","24.7","R_0603_1608Metric",167.904400,-96.886200,-90.000000,top
"R4","10k","R_0603_1608Metric",172.425000,-108.250000,0.000000,top
"R5","10k","R_0603_1608Metric",176.175000,-108.250000,180.000000,top
"R6","100","R_0603_1608Metric",169.065000,-108.275000,180.000000,top
"R7","499","R_0603_1608Metric",159.830000,-86.250000,0.000000,top
"R8","33k","R_0603_1608Metric",178.800000,-91.592500,0.000000,top
"R9","10k","R_0603_1608Metric",187.395000,-95.592500,180.000000,top
"R10","0","R_0603_1608Metric",151.325000,-109.600000,0.000000,top
"R11","0","R_0603_1608Metric",148.075000,-109.600000,180.000000,top
"S1","416131160802","416131160802",169.230000,-88.325000,90.000000,top
"U1","ESP32-S3-PICO-1-N8R2","QFN56_7X7_EXP",153.450000,-96.950000,0.000000,top
"U3","OPA358","DCK6-M",172.788250,-97.625001,0.000000,top
"U5","~","Socket_THT_MountingHoles",162.440000,-81.350000,90.000000,top
"U6","~","Socket_THT_MountingHoles",153.320000,-115.850000,90.000000,top
"U9","434133025816","SMD_025816_WRE",162.050000,-106.900000,0.000000,top
